strategy,bucket,avg_qty,relative_volume,order_size,execution_gmt_time,execution_price,executed_value,decision_reason
buy_first,09:30:00,10696640,0.06196509,3098.25473090,13:30:00,130.14000000,403206.87067901,first_trade_in_bucket
buy_first,09:45:00,8907871,0.05160285,2580.14231272,13:45:00,130.48000000,336656.96896422,first_trade_in_bucket
buy_first,10:00:00,10631856,0.06158980,3079.49020910,14:00:00,130.35000000,401411.54875563,first_trade_in_bucket
buy_first,10:15:00,7968852,0.04616316,2308.15783356,14:15:00,130.50000000,301214.59728021,first_trade_in_bucket
buy_first,10:30:00,7116972,0.04122826,2061.41294544,14:30:00,130.92500000,269890.48988117,first_trade_in_bucket
buy_first,10:45:00,6311327,0.03656120,1828.05990816,14:45:01,131.12000000,239695.21515759,first_trade_in_bucket
buy_first,11:00:00,6817398,0.03949284,1974.64209377,15:00:00,131.35000000,259369.23901679,first_trade_in_bucket
buy_first,11:15:00,5733615,0.03321454,1660.72708803,15:15:00,131.20000000,217887.39394942,first_trade_in_bucket
buy_first,11:30:00,6172092,0.03575462,1787.73084245,15:30:00,131.15100000,234462.68771756,first_trade_in_bucket
buy_first,11:45:00,7280017,0.04217277,2108.63851745,15:45:00,131.08000000,276400.33686696,first_trade_in_bucket
buy_first,12:00:00,5795266,0.03357168,1678.58414430,16:00:00,131.05000000,219978.45211082,first_trade_in_bucket
buy_first,12:15:00,3544394,0.02053250,1026.62476055,16:15:00,131.23000000,134723.96732668,first_trade_in_bucket
buy_first,12:30:00,3961362,0.02294797,1147.39848750,16:30:00,131.53500000,150923.06005289,first_trade_in_bucket
buy_first,12:45:00,3392003,0.01964970,982.48509270,16:45:01,131.43000000,129128.01573344,first_trade_in_bucket
buy_first,13:00:00,3617895,0.02095828,1047.91413936,17:00:00,131.34000000,137633.04306351,first_trade_in_bucket
buy_first,13:15:00,4137806,0.02397010,1198.50504598,17:15:00,131.29200000,157354.12449687,first_trade_in_bucket
buy_first,13:30:00,4369025,0.02530954,1265.47704472,17:30:02,131.42000000,166308.99321742,first_trade_in_bucket
buy_first,13:45:00,4208543,0.02437988,1218.99383918,17:45:01,131.49000000,160285.49991390,first_trade_in_bucket
buy_first,14:00:00,4040228,0.02340484,1170.24182499,18:00:00,131.48500000,153869.24635935,first_trade_in_bucket
buy_first,14:15:00,3944704,0.02285147,1142.57353991,18:15:00,131.38800000,150120.45226228,first_trade_in_bucket
buy_first,14:30:00,4466707,0.02587541,1293.77038905,18:30:00,131.36000000,169949.67830506,first_trade_in_bucket
buy_first,14:45:00,4763369,0.02759396,1379.69778727,18:45:00,131.45000000,181361.27413710,first_trade_in_bucket
buy_first,15:00:00,6645228,0.03849547,1924.77348858,19:00:00,131.66000000,253415.67750655,first_trade_in_bucket
buy_first,15:15:00,6033030,0.03494904,1747.45188575,19:15:00,131.73000000,230191.83690933,first_trade_in_bucket
buy_first,15:30:00,7969087,0.04616452,2308.22590072,19:30:00,131.85500000,304351.12613952,first_trade_in_bucket
buy_first,15:45:00,13533707,0.07840008,3920.00401428,19:45:00,131.80000000,516656.52908240,first_trade_in_bucket
buy_first,16:00:00,10564643,0.06120044,3060.02213359,20:00:00,132.02000000,403984.12207594,first_trade_in_bucket
